store_id,store_name,region,city,address,manager,phone,open_date
S001,星巴克(银川金凤万达店),宁夏,银川市,"金凤区, 万达广场1号门1楼, 新华东街97号",经理51,13840194864,2023-08-19
S002,星巴克(包头百货大楼店),内蒙古,包头市,"昆都仑区, 包百大楼一楼西门, 青年路26号",经理7,13840637299,2023-02-22
S003,星巴克(乐虹坊店),上海,上海市,"闵行区, 乐虹坊, 康新公路4365号1楼",经理13,021-54573821,2023-11-07
S004,星巴克(济南高新万达广场店),山东,济南市,"高新区, 万达广场1层, 新泺大街",经理33,13873124190,2023-03-17
S005,星巴克(北京枫蓝国际中心店),北京,北京市,"海淀区, 1号楼一层106-2, ""西城区金融街武定候街2号 """,经理1,010-62214405,2023-05-02
S006,星巴克(东莞厚街天虹店),广东,东莞市,"厚街镇, 天虹商场一层1003号铺, 鸿福路200号",经理41,0769-81508791,2023-01-16
S007,星巴克(天津银河广场咖啡店),天津,天津市,"河西区, 银河国际购物中心一层L1-045-2单元, 解放北路与哈尔滨道交口东北侧",经理4,022-58785330,2023-05-26
S008,星巴克(西安金桥店),陕西,西安市,高新区,经理48,029-88712007,2023-09-15
S009,星巴克(西宁力盟商业巷店),青海,西宁市,"城西区, 力盟商业巷5号楼1F, 正源北街",经理50,13861603209,2023-04-27
S010,星巴克(北京常通路第一咖啡店),北京,北京市,"朝阳区, 1号院1号楼 1F-08/2F-08, 东长安街1号",经理3,13833431870,2023-03-01
S011,星巴克(佛山岭南站1店),广东,佛山市,"禅城区, 负一层020铺, 容桂红星桂洲大道中63号",经理38,13816053506,2023-11-09
S012,星巴克(长春宽城万达店),吉林,长春市,"宽城区, 宽城万达广场一层1001号铺位, 博学路1555号2#购物广场一层",经理9,0431-89806897,2023-11-20
S013,星巴克(杭州中大银泰城店),浙江,杭州市,"下城区, 中大银泰城, 丰潭路380号",经理26,13859776058,2023-12-14
S014,星巴克(郑州紫荆山新世界店),河南,郑州市,"管城回族区, 新世界百货1-11号, 开元路68号",经理34,0371-86150390,2023-02-17
S015,星巴克(广州天河城店),广东,广州市,"天河路208号天河城首层北门103C号铺, 农林下路37号",经理39,020-85590022,2023-09-02
S016,星巴克(川沙绿地铂骊酒店店),上海,上海市,"上海市浦东新区, 张杨路3611弄2号212、213、214、217、218室",经理16,13838776372,2023-11-01
S017,星巴克(苏宁天御店),上海,上海市,"上海市普陀区丹巴路99号16-1室, 古美路1528号B楼地下一层D-2号",经理12,13896191889,2023-03-31
S018,星巴克(沈阳中街新玛特店),辽宁,沈阳市,"大东区, 新玛特商场, 哈尔滨路118号",经理8,13878437717,2023-12-16
S019,星巴克(南宁世贸西城店),广西,南宁市,"西乡塘区, 南宁百货新世界店1层, 西乡塘高新大道55号",经理42,0771-3393952,2023-06-04
S020,星巴克(南昌红谷滩天虹店),江西,南昌市,"红谷滩新区, 联发广场一层1003单元, 北京东路418号",经理32,0791-83814070,2023-12-10
