sale_id,store_id,store_name,product_id,product_name,category,quantity,unit_price,amount,sale_time,date,hour,is_weekend,region,city
SA00000001,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,1,32,32,2024-12-01 08:13:11,2024-12-01,8,1,宁夏,银川市
SA00000002,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-01 14:36:09,2024-12-01,14,1,宁夏,银川市
SA00000003,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-01 11:06:25,2024-12-01,11,1,宁夏,银川市
SA00000004,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,1,32,32,2024-12-01 09:43:42,2024-12-01,9,1,宁夏,银川市
SA00000005,S001,星巴克(银川金凤万达店),P002,拿铁,经典咖啡,2,32,64,2024-12-01 22:56:26,2024-12-01,22,1,宁夏,银川市
SA00000006,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,1,32,32,2024-12-01 10:27:35,2024-12-01,10,1,宁夏,银川市
SA00000007,S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,1,38,38,2024-12-02 19:10:12,2024-12-02,19,0,宁夏,银川市
SA00000008,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,2,35,70,2024-12-02 16:36:42,2024-12-02,16,0,宁夏,银川市
SA00000009,S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,1,38,38,2024-12-02 18:11:32,2024-12-02,18,0,宁夏,银川市
SA00000010,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,1,38,38,2024-12-02 06:47:12,2024-12-02,6,0,宁夏,银川市
SA00000011,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-02 12:03:24,2024-12-02,12,0,宁夏,银川市
SA00000012,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,2,32,64,2024-12-02 08:12:50,2024-12-02,8,0,宁夏,银川市
SA00000013,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-02 16:05:03,2024-12-02,16,0,宁夏,银川市
SA00000014,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,2,38,76,2024-12-03 09:10:11,2024-12-03,9,0,宁夏,银川市
SA00000015,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,1,32,32,2024-12-03 11:11:36,2024-12-03,11,0,宁夏,银川市
SA00000016,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-03 05:38:08,2024-12-03,5,0,宁夏,银川市
SA00000017,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-04 08:02:13,2024-12-04,8,0,宁夏,银川市
SA00000018,S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,1,38,38,2024-12-04 14:24:29,2024-12-04,14,0,宁夏,银川市
SA00000019,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-04 14:32:10,2024-12-04,14,0,宁夏,银川市
SA00000020,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,2,35,70,2024-12-04 20:44:38,2024-12-04,20,0,宁夏,银川市
SA00000021,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,2,38,76,2024-12-04 08:57:12,2024-12-04,8,0,宁夏,银川市
SA00000022,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-04 13:11:25,2024-12-04,13,0,宁夏,银川市
SA00000023,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-04 06:19:44,2024-12-04,6,0,宁夏,银川市
SA00000024,S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,1,34,34,2024-12-04 09:59:02,2024-12-04,9,0,宁夏,银川市
SA00000025,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,1,35,35,2024-12-05 14:00:11,2024-12-05,14,0,宁夏,银川市
SA00000026,S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,1,34,34,2024-12-05 14:41:11,2024-12-05,14,0,宁夏,银川市
SA00000027,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-05 20:03:54,2024-12-05,20,0,宁夏,银川市
SA00000028,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-06 08:58:13,2024-12-06,8,0,宁夏,银川市
SA00000029,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,2,36,72,2024-12-06 11:13:50,2024-12-06,11,0,宁夏,银川市
SA00000030,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,2,38,76,2024-12-06 12:45:36,2024-12-06,12,0,宁夏,银川市
SA00000031,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,1,30,30,2024-12-06 14:26:17,2024-12-06,14,0,宁夏,银川市
SA00000032,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-06 17:19:18,2024-12-06,17,0,宁夏,银川市
SA00000033,S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,1,38,38,2024-12-06 15:19:09,2024-12-06,15,0,宁夏,银川市
SA00000034,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,2,32,64,2024-12-07 09:14:53,2024-12-07,9,1,宁夏,银川市
SA00000035,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-07 09:26:18,2024-12-07,9,1,宁夏,银川市
SA00000036,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,2,28,56,2024-12-07 07:19:31,2024-12-07,7,1,宁夏,银川市
SA00000037,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-07 20:47:21,2024-12-07,20,1,宁夏,银川市
SA00000038,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,1,38,38,2024-12-07 07:23:55,2024-12-07,7,1,宁夏,银川市
SA00000039,S001,星巴克(银川金凤万达店),P001,美式咖啡,经典咖啡,2,28,56,2024-12-07 14:05:12,2024-12-07,14,1,宁夏,银川市
SA00000040,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,2,38,76,2024-12-07 22:07:28,2024-12-07,22,1,宁夏,银川市
SA00000041,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-07 08:47:45,2024-12-07,8,1,宁夏,银川市
SA00000042,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,1,32,32,2024-12-07 09:24:34,2024-12-07,9,1,宁夏,银川市
SA00000043,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,2,32,64,2024-12-07 08:36:04,2024-12-07,8,1,宁夏,银川市
SA00000044,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,1,35,35,2024-12-08 15:17:19,2024-12-08,15,1,宁夏,银川市
SA00000045,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,1,32,32,2024-12-08 08:54:06,2024-12-08,8,1,宁夏,银川市
SA00000046,S001,星巴克(银川金凤万达店),P011,咖啡星冰乐,星冰乐,1,34,34,2024-12-08 16:59:19,2024-12-08,16,1,宁夏,银川市
SA00000047,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,1,35,35,2024-12-09 07:43:57,2024-12-09,7,0,宁夏,银川市
SA00000048,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,1,35,35,2024-12-09 18:49:59,2024-12-09,18,0,宁夏,银川市
SA00000049,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-09 15:44:36,2024-12-09,15,0,宁夏,银川市
SA00000050,S001,星巴克(银川金凤万达店),P006,浓缩咖啡,经典咖啡,1,22,22,2024-12-09 16:24:55,2024-12-09,16,0,宁夏,银川市
SA00000051,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-09 06:21:56,2024-12-09,6,0,宁夏,银川市
SA00000052,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,2,36,72,2024-12-10 12:39:16,2024-12-10,12,0,宁夏,银川市
SA00000053,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-10 07:07:55,2024-12-10,7,0,宁夏,银川市
SA00000054,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-10 18:58:16,2024-12-10,18,0,宁夏,银川市
SA00000055,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-10 08:06:49,2024-12-10,8,0,宁夏,银川市
