store_id,store_name,region,city,address,manager,phone,open_date
S001,益禾堂(长沙市5号店),湖南,长沙市,长沙市步行街5号,店长40,13882208982,2023-01-09
S002,益禾堂(青岛市5号店),山东,青岛市,青岛市步行街8号,店长26,13861319031,2023-01-14
S003,喜茶(杭州市1号店),浙江,杭州市,杭州市步行街7号,店长15,13835709864,2023-03-13
S004,蜜雪冰城(西安市1号店),陕西,西安市,西安市步行街9号,店长49,13896110253,2023-09-16
S005,一点点(长沙市2号店),湖南,长沙市,长沙市中心区5号,店长29,13882988657,2023-07-16
S006,奈雪的茶(苏州市4号店),江苏,苏州市,苏州市商业区10号,店长11,13829022306,2023-10-06
S007,CoCo都可(厦门市2号店),福建,厦门市,厦门市步行街5号,店长17,13879146298,2023-04-03
S008,书亦烧仙草(郑州市5号店),河南,郑州市,郑州市商业区10号,店长88,13896783035,2023-06-22
S009,一点点(厦门市3号店),福建,厦门市,厦门市万象城5号,店长85,13894265740,2023-07-15
S010,奈雪的茶(苏州市1号店),江苏,苏州市,苏州市万达广场4号,店长39,13855085919,2023-09-23
S011,古茗(重庆市5号店),重庆,重庆市,重庆市万象城9号,店长26,13886722306,2023-02-17
S012,奈雪的茶(重庆市2号店),重庆,重庆市,重庆市万象城1号,店长42,13851580693,2023-03-19
S013,茶颜悦色(昆明市3号店),云南,昆明市,昆明市万象城8号,店长100,13855355647,2023-01-19
S014,喜茶(西安市3号店),陕西,西安市,西安市中心区1号,店长81,13822274581,2023-12-26
S015,奈雪的茶(南京市2号店),江苏,南京市,南京市中心区2号,店长31,13815936940,2023-09-25
S016,茶颜悦色(重庆市5号店),重庆,重庆市,重庆市万达广场9号,店长95,13817489854,2023-08-28
S017,一点点(深圳市3号店),广东,深圳市,深圳市商业区7号,店长70,13876828680,2023-05-14
S018,古茗(长沙市5号店),湖南,长沙市,长沙市步行街3号,店长64,13899697717,2023-01-18
S019,一点点(武汉市2号店),湖北,武汉市,武汉市万达广场4号,店长68,13833482354,2023-04-06
S020,蜜雪冰城(苏州市3号店),江苏,苏州市,苏州市中心区8号,店长14,13860647095,2023-06-12
S021,沪上阿姨(杭州市4号店),浙江,杭州市,杭州市万达广场5号,店长72,13857204785,2023-11-04
S022,奈雪的茶(苏州市4号店),江苏,苏州市,苏州市商业区8号,店长14,13871753082,2023-05-05
S023,七分甜(郑州市4号店),河南,郑州市,郑州市万达广场6号,店长94,13858376166,2023-10-20
S024,茶百道(昆明市4号店),云南,昆明市,昆明市万达广场6号,店长28,13852868685,2023-11-26
S025,蜜雪冰城(青岛市1号店),山东,青岛市,青岛市中心区10号,店长44,13851784135,2023-06-15
S026,霸王茶姬(重庆市2号店),重庆,重庆市,重庆市中心区10号,店长100,13835910885,2023-04-20
S027,茶百道(昆明市5号店),云南,昆明市,昆明市商业区8号,店长11,13853363858,2023-06-19
S028,七分甜(合肥市1号店),安徽,合肥市,合肥市万象城1号,店长64,13850931141,2023-07-13
S029,书亦烧仙草(郑州市3号店),河南,郑州市,郑州市万达广场2号,店长2,13884895664,2023-06-04
S030,书亦烧仙草(南京市4号店),江苏,南京市,南京市中心区6号,店长18,13838065629,2023-08-27
S031,甜啦啦(苏州市1号店),江苏,苏州市,苏州市中心区7号,店长28,13884546247,2023-04-28
S032,悸动烧仙草(青岛市1号店),山东,青岛市,青岛市商业区2号,店长31,13816362972,2023-07-01
S033,七分甜(郑州市2号店),河南,郑州市,郑州市万象城1号,店长44,13899402379,2023-01-25
S034,奈雪的茶(武汉市2号店),湖北,武汉市,武汉市万达广场5号,店长69,13844832629,2023-05-03
S035,沪上阿姨(重庆市2号店),重庆,重庆市,重庆市万达广场8号,店长8,13836489947,2023-04-05
S036,益禾堂(合肥市4号店),安徽,合肥市,合肥市中心区7号,店长14,13880268217,2023-12-12
S037,悸动烧仙草(重庆市1号店),重庆,重庆市,重庆市万象城5号,店长19,13881960774,2023-11-16
S038,悸动烧仙草(厦门市5号店),福建,厦门市,厦门市步行街9号,店长1,13866882727,2023-03-26
S039,茶颜悦色(厦门市3号店),福建,厦门市,厦门市商业区3号,店长34,13811085488,2023-04-12
S040,沪上阿姨(深圳市5号店),广东,深圳市,深圳市中心区6号,店长57,13884152559,2023-07-08
S041,霸王茶姬(厦门市5号店),福建,厦门市,厦门市商业区5号,店长32,13871875199,2023-09-17
S042,霸王茶姬(南京市4号店),江苏,南京市,南京市万达广场8号,店长76,13818120117,2023-02-20
S043,茶颜悦色(郑州市2号店),河南,郑州市,郑州市万达广场3号,店长21,13843043609,2023-07-10
S044,蜜雪冰城(广州市4号店),广东,广州市,广州市万达广场3号,店长86,13836107501,2023-08-21
S045,茶颜悦色(合肥市5号店),安徽,合肥市,合肥市万达广场1号,店长58,13853257777,2023-03-28
S046,喜茶(成都市1号店),四川,成都市,成都市中心区8号,店长97,13836759685,2023-06-16
S047,霸王茶姬(深圳市3号店),广东,深圳市,深圳市中心区4号,店长64,13810849781,2023-08-09
S048,奈雪的茶(青岛市4号店),山东,青岛市,青岛市万象城8号,店长72,13837047595,2023-05-05
S049,喜茶(南京市3号店),江苏,南京市,南京市商业区8号,店长59,13889704392,2023-04-03
S050,喜茶(苏州市4号店),江苏,苏州市,苏州市中心区10号,店长88,13856805336,2023-05-28
